scenario_id,variant,n_runs,expect_collision,incident_reconstructed,contributors_ground_truth,contributors_inferred,attribution_class,attribution_precision,attribution_recall,attribution_f1,exact_set_match,verdict,collision_time_error_s,collision_location_error_m,cross_view_rmse_m,causal_path_f1,ancestry_recall,node_f1_best_local,node_f1_fused,edge_f1_best_local,edge_f1_fused,edge_recall_fused,edge_recall_ceiling
S01,avoided,3,0,1,,,insufficient_evidence,1.0,1.0,1.0,1,restrained,,,1.3329,1.0,1.0,0.2646,0.3333,0.0,0.0325,0.1667,0.1667
S01,crash,3,1,1,B,A;B,"mixed: shared_contribution, single_initiator",0.8333,1.0,0.8889,0,partial,0.0021,0.0006,1.3611,0.25,1.0,0.3389,0.424,0.1379,0.1169,0.4286,0.4286
S02,avoided,3,0,0,,,insufficient_evidence,1.0,1.0,1.0,1,restrained,,,1.3243,1.0,1.0,0.2309,0.2226,0.0,0.0,0.0,0.0
S02,crash,3,1,1,B,A;B,shared_contribution,0.5,0.6667,0.5556,0,partial,0.0011,0.0097,1.2918,0.0476,0.8667,0.1922,0.2421,0.0812,0.0595,0.3036,0.4762
S03,crash,3,1,1,B,A;B,"mixed: shared_contribution, single_initiator",0.3333,0.3333,0.3333,0,partial,0.0219,0.1657,1.1633,0.0,1.0,0.2084,0.3075,0.1833,0.0591,0.4667,0.8
S04,yield,3,0,1,,,insufficient_evidence,1.0,1.0,1.0,1,restrained,,,1.1139,1.0,1.0,0.2507,0.2399,0.0,0.0,0.0,0.0
S05,crash,3,1,1,A;B,A;B,"mixed: shared_contribution, single_initiator",1.0,0.5,0.6667,0,partial,0.0277,0.2465,1.1291,0.0,1.0,0.3286,0.2769,0.1731,0.0882,0.5,0.6667
S06,a_front_pushed,3,1,1,C,B;C,"mixed: contributing_but_not_necessary, mixed, shared_contribution",0.3333,0.6667,0.4444,0,partial,0.1083,0.0191,2.0248,0.0,1.0,0.2232,0.386,0.1241,0.0193,0.1111,0.4444
S06,b_rear_first,3,1,1,B;C,C,"mixed: insufficient_evidence, single_initiator",0.6667,0.3333,0.4444,0,partial,0.0026,0.0039,1.6737,0.0,1.0,0.2769,0.3573,0.1594,0.0586,0.3333,0.5714
S07,full_view,3,1,1,B;C,B,"mixed: contributing_but_not_necessary, single_initiator",0.6667,0.3333,0.4444,0,partial,0.0026,0.0047,1.6829,0.0,1.0,0.216,0.3544,0.1667,0.0772,0.2963,0.3333
S07,occluded,3,1,1,B;C,B;C,"mixed: contributing_but_not_necessary, shared_contribution",0.6667,0.6667,0.6667,0,partial,0.0026,0.005,1.7215,0.0,1.0,0.2215,0.3411,0.0993,0.0584,0.2593,0.3333
S08,crash,3,1,1,B,A;B,"mixed: shared_contribution, single_initiator",0.3333,0.3333,0.3333,0,partial,0.0071,0.0528,1.3551,0.0,1.0,0.2438,0.3182,0.1502,0.0427,0.4524,0.6032
S09,merge_conflict,3,1,1,B,B,"mixed: insufficient_evidence, single_initiator",0.3333,0.3333,0.3333,0,partial,0.0291,0.2437,1.491,0.0,1.0,0.3232,0.3725,0.1905,0.1092,1.0,1.0
