scenario,variant,seed,what_happened,reconstructed,clock_source,clock_quality,collision_order,signs_detected,line_evidence,key_formal_violation,physical_contributors,normative_violation,responsibility_contributors,counterfactual_validation,main_limitation
S01,avoided,0,no event,nodes 0.63 / edges 0.41,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,no crossing reported,none failed (1 undecided),"A, B",none observed,"none supported (A, B partial)",not tested,"common time came from the experiment harness, not from the vehicles"
S01,avoided,1,no event,nodes 0.66 / edges 0.48,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,no crossing reported,none failed (1 undecided),"A, B",none observed,"none supported (A, B partial)",not tested,"common time came from the experiment harness, not from the vehicles"
S01,avoided,2,no event,nodes 0.63 / edges 0.36,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,no crossing reported,none failed (1 undecided),"A, B",none observed,"none supported (A, B partial)",not tested,"common time came from the experiment harness, not from the vehicles"
S01,crash,0,collision: A-B,nodes 0.72 / edges 0.42,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (1 undecided),B,none observed,none supported (B partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S01,crash,1,collision: A-B,nodes 0.74 / edges 0.42,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (2 undecided),B,none observed,none supported (B partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S01,crash,2,collision: A-B,nodes 0.73 / edges 0.42,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (2 undecided),B,none observed,none supported (B partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S02,avoided,0,no event,nodes 0.54 / edges 0.35,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,lane marking x3,none failed (1 undecided),none,A (no property failed),none supported (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S02,avoided,1,no event,nodes 0.56 / edges 0.33,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,lane marking x3,none failed (1 undecided),none,A (no property failed),none supported (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S02,avoided,2,no event,nodes 0.54 / edges 0.37,"harness marker (no contact, no radar)",harness marker (not a reconstruction result),no impact,no signs in this scenario,lane marking x3,none failed (1 undecided),none,A (no property failed),none supported (A partial),not tested,"common time came from the experiment harness, not from the vehicles"
S02,crash,0,collision: A-B,nodes 0.53 / edges 0.20,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,lane marking x2,none failed (2 undecided),"A, B",A (no property failed),A (B partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S02,crash,1,collision: A-B,nodes 0.57 / edges 0.25,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,lane marking x2,P3: a critical time-to-collision gets a response,"A, B",A (P3),"none supported (A, B partial)",not tested,"no replays, so but-for causation was neither established nor ruled out"
S02,crash,2,collision: A-B,nodes 0.63 / edges 0.30,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,lane marking x3,none failed (3 undecided),"A, B",A (no property failed),A (B partial),not tested,"no replays, so but-for causation was neither established nor ruled out"
S03,crash,0,collision: A-B,nodes 0.58 / edges 0.37,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (2 undecided),B,B (no property failed),B,not tested,"no replays, so but-for causation was neither established nor ruled out"
S03,crash,1,collision: A-B,nodes 0.62 / edges 0.39,"A=reference, B=contact",contact aligned (1 shared contact),single impact (A-B),no signs in this scenario,no crossing reported,none failed (2 undecided),B,B (no property failed),B,not tested,"no replays, so but-for causation was neither established nor ruled out"
